Depth,Monst dmg,Monst life,Monster level,Sulphite deposit,sulphite cost,Darkness res
106,0,0,80,1970,393,-208
107,0,0,80,1970,393,-209
108,0,0,80,1970,393,-210
109,0,0,80,1970,393,-211
110,0,0,80,1970,429,-212
111,0,0,80,1970,429,-213
112,0,0,80,1970,429,-214
113,0,0,80,1970,429,-215
114,0,0,81,2106,429,-216
115,0,0,81,2106,429,-217
116,0,0,81,2106,429,-218
117,0,0,81,2106,429,-219
118,0,0,81,2106,429,-220
119,0,0,81,2106,429,-221
120,0,0,81,2106,429,-222
121,0,0,81,2106,429,-223
122,0,0,81,2106,482,-224
123,0,0,81,2106,482,-225
124,0,0,81,2106,482,-226
125,0,0,81,2106,482,-227
126,0,0,81,2106,482,-228
127,0,0,81,2106,482,-229
128,0,0,81,2106,482,-230
129,0,0,82,2239,482,-231
130,0,0,82,2239,482,-232
131,0,0,82,2239,482,-233
132,0,0,82,2239,482,-234
133,0,0,82,2239,482,-235
134,0,0,82,2239,536,-236
135,0,0,82,2239,536,-237
136,0,0,82,2239,536,-238
137,0,0,82,2239,536,-239
138,0,0,82,2239,536,-240
139,0,0,82,2239,536,-241
140,0,0,82,2239,536,-242
141,0,0,82,2239,536,-243
142,0,0,82,2239,536,-244
143,0,0,82,2239,536,-245
144,0,0,82,2239,536,-246
145,0,0,83,2440,536,-247
146,1,10,83,2440,589,-248
147,1,11,83,2440,589,-249
148,1,11,83,2440,589,-250
149,1,12,83,2440,589,-251
150,1,12,83,2440,589,-252
151,1,13,83,2440,589,-253
152,1,14,83,2440,589,-254
153,1,14,83,2440,589,-255
154,1,15,83,2440,589,-256
155,1,15,83,2440,589,-257
156,1,15,83,2440,589,-258
157,1,16,83,2440,589,-259
158,1,16,83,2440,589,-260
159,1,17,83,2440,643,-261
160,1,17,83,2440,643,-262
161,1,18,83,2440,643,-263
162,1,18,83,2440,643,-264
163,1,19,83,2440,643,-265
164,1,19,83,2440,643,-266
165,1,20,83,2440,643,-267
166,1,20,83,2440,643,-268
167,1,21,83,2440,643,-269
168,1,21,83,2440,643,-270
169,1,22,83,2440,643,-271
170,1,23,83,2440,643,-272
171,1,23,83,2440,697,-273
172,1,24,83,2440,697,-274
173,1,24,83,2440,697,-275
174,1,25,83,2440,697,-276
175,1,26,83,2440,697,-277
176,1,26,83,2440,697,-278
177,1,27,83,2440,698,-279
178,1,28,83,2440,698,-280
179,1,28,83,2440,699,-281
180,1,29,83,2440,699,-282
181,1,30,83,2440,700,-283
182,1,30,83,2440,700,-284
183,1,31,83,2440,701,-285
184,1,32,83,2440,701,-286
185,1,32,83,2440,702,-287
186,1,33,83,2440,702,-288
187,1,34,83,2440,703,-289
188,1,35,83,2440,703,-290
189,1,35,83,2440,704,-291
190,1,36,83,2440,704,-292
191,1,37,83,2440,705,-293
192,1,38,83,2440,705,-294
193,2,38,83,2440,706,-295
194,2,39,83,2440,706,-296
195,2,40,83,2440,707,-297
196,2,41,83,2440,707,-298
197,2,42,83,2440,708,-299
198,2,43,83,2440,708,-300
199,2,43,83,2440,709,-301
200,2,44,83,2440,709,-302
201,2,45,83,2440,710,-303
202,2,46,83,2440,710,-304
203,2,47,83,2440,711,-305
204,2,48,83,2440,711,-306
205,2,49,83,2440,712,-307
206,2,50,83,2440,712,-308
207,2,51,83,2440,713,-309
208,2,52,83,2440,713,-310
209,2,53,83,2440,714,-311
210,2,53,83,2440,714,-312
211,2,54,83,2440,715,-313
212,2,55,83,2440,715,-314
213,2,56,83,2440,716,-315
214,2,57,83,2440,716,-316
215,2,58,83,2440,717,-317
216,2,59,83,2440,717,-318
217,2,60,83,2440,718,-319
218,2,62,83,2440,718,-320
219,2,63,83,2440,719,-321
220,2,64,83,2440,719,-322
221,2,65,83,2440,720,-323
222,2,66,83,2440,720,-324
223,2,67,83,2440,721,-325
224,2,68,83,2440,721,-326
225,2,69,83,2440,722,-327
226,2,70,83,2440,722,-328
227,3,71,83,2440,723,-329
228,3,72,83,2440,723,-330
229,3,74,83,2440,724,-331
230,3,75,83,2440,724,-332
231,3,76,83,2440,725,-333
232,3,77,83,2440,725,-334
233,3,78,83,2440,726,-335
234,3,79,83,2440,726,-336
235,3,81,83,2440,727,-337
236,3,82,83,2440,727,-338
237,3,83,83,2440,728,-339
238,3,84,83,2440,728,-340
239,3,85,83,2440,729,-341
240,3,87,83,2440,729,-342
241,3,88,83,2440,730,-343
242,3,89,83,2440,730,-344
243,3,91,83,2440,731,-345
244,3,92,83,2440,731,-346
245,3,93,83,2440,732,-347
246,3,94,83,2440,732,-348
247,3,96,83,2440,733,-349
248,3,97,83,2440,733,-350
249,3,98,83,2440,734,-351
250,4,100,83,2440,734,-352
251,4,101,83,2440,735,-353
252,4,102,83,2440,735,-354
253,4,104,83,2440,736,-355
254,4,105,83,2440,736,-356
255,4,107,83,2440,737,-357
256,4,108,83,2440,737,-358
257,4,109,83,2440,738,-359
258,4,111,83,2440,738,-360
259,4,112,83,2440,739,-361
260,4,114,83,2440,740,-362
261,4,115,83,2440,740,-363
262,4,117,83,2440,741,-364
263,4,118,83,2440,741,-365
264,4,120,83,2440,742,-366
265,4,121,83,2440,742,-367
266,4,123,83,2440,743,-368
267,4,124,83,2440,743,-369
268,4,126,83,2440,744,-370
269,5,127,83,2440,744,-371
270,5,129,83,2440,745,-372
271,5,130,83,2440,745,-373
272,5,132,83,2440,746,-374
273,5,133,83,2440,746,-375
274,5,135,83,2440,747,-376
275,5,136,83,2440,747,-377
276,5,138,83,2440,748,-378
277,5,140,83,2440,748,-379
278,5,141,83,2440,749,-380
279,5,143,83,2440,749,-381
280,5,145,83,2440,750,-382
281,5,146,83,2440,750,-383
282,5,148,83,2440,751,-384
283,5,149,83,2440,752,-385
284,5,151,83,2440,752,-386
285,5,153,83,2440,753,-387
286,6,155,83,2440,753,-388
287,6,156,83,2440,754,-389
288,6,158,83,2440,754,-390
289,6,160,83,2440,755,-391
290,6,161,83,2440,755,-392
291,6,163,83,2440,756,-393
292,6,165,83,2440,756,-394
293,6,167,83,2440,757,-395
294,6,168,83,2440,757,-396
295,6,170,83,2440,758,-397
296,6,172,83,2440,758,-398
297,6,174,83,2440,759,-399
298,6,176,83,2440,759,-400
299,6,177,83,2440,760,-401
300,6,179,83,2440,760,-402
301,7,181,83,2440,761,-403
302,7,183,83,2440,762,-404
303,7,185,83,2440,762,-405
304,7,187,83,2440,763,-406
305,7,188,83,2440,763,-407
306,7,190,83,2440,764,-408
307,7,192,83,2440,764,-409
308,7,194,83,2440,765,-410
309,7,196,83,2440,765,-411
310,7,198,83,2440,766,-412
311,7,200,83,2440,766,-413
312,7,202,83,2440,767,-414
313,7,204,83,2440,767,-415
314,8,206,83,2440,768,-416
315,8,208,83,2440,769,-417
316,8,210,83,2440,769,-418
317,8,212,83,2440,770,-419
318,8,214,83,2440,770,-420
319,8,216,83,2440,771,-421
320,8,218,83,2440,771,-422
321,8,220,83,2440,772,-423
322,8,222,83,2440,772,-424
323,8,224,83,2440,773,-425
324,8,226,83,2440,773,-426
325,8,228,83,2440,774,-427
326,8,230,83,2440,774,-428
327,9,232,83,2440,775,-429
328,9,234,83,2440,776,-430
329,9,236,83,2440,776,-431
330,9,238,83,2440,777,-432
331,9,240,83,2440,777,-433
332,9,243,83,2440,778,-434
333,9,245,83,2440,778,-435
334,9,247,83,2440,779,-436
335,9,249,83,2440,779,-437
336,9,251,83,2440,780,-438
337,9,253,83,2440,780,-439
338,10,256,83,2440,781,-440
339,10,258,83,2440,782,-441
340,10,260,83,2440,782,-442
341,10,262,83,2440,783,-443
342,10,264,83,2440,783,-444
343,10,267,83,2440,784,-445
344,10,269,83,2440,784,-446
345,10,271,83,2440,785,-447
346,10,273,83,2440,785,-448
347,10,276,83,2440,786,-449
348,10,278,83,2440,786,-450
349,11,280,83,2440,787,-451
350,11,283,83,2440,788,-452
351,11,285,83,2440,788,-453
352,11,287,83,2440,789,-454
353,11,290,83,2440,789,-455
354,11,292,83,2440,790,-456
355,11,294,83,2440,790,-457
356,11,297,83,2440,791,-458
357,11,299,83,2440,791,-459
358,11,301,83,2440,792,-460
359,11,304,83,2440,793,-461
360,12,306,83,2440,793,-462
361,12,309,83,2440,794,-463
362,12,311,83,2440,794,-464
363,12,313,83,2440,795,-465
364,12,316,83,2440,795,-466
365,12,318,83,2440,796,-467
366,12,321,83,2440,796,-468
367,12,323,83,2440,797,-469
368,12,326,83,2440,798,-470
369,12,328,83,2440,798,-471
370,13,331,83,2440,799,-472
371,13,333,83,2440,799,-473
372,13,336,83,2440,800,-474
373,13,338,83,2440,800,-475
374,13,341,83,2440,801,-476
375,13,343,83,2440,801,-477
376,13,346,83,2440,802,-478
377,13,348,83,2440,803,-479
378,13,351,83,2440,803,-480
379,14,354,83,2440,804,-481
380,14,356,83,2440,804,-482
381,14,359,83,2440,805,-483
382,14,361,83,2440,805,-484
383,14,364,83,2440,806,-485
384,14,367,83,2440,807,-486
385,14,369,83,2440,807,-487
386,14,372,83,2440,808,-488
387,14,375,83,2440,808,-489
388,15,377,83,2440,809,-490
389,15,380,83,2440,809,-491
390,15,383,83,2440,810,-492
391,15,385,83,2440,811,-493
392,15,388,83,2440,811,-494
393,15,391,83,2440,812,-495
394,15,394,83,2440,812,-496
395,15,396,83,2440,813,-497
396,15,399,83,2440,813,-498
397,16,402,83,2440,814,-499
398,16,405,83,2440,814,-500
399,16,407,83,2440,815,-501
400,16,410,83,2440,816,-501
401,16,413,83,2440,816,-502
402,16,416,83,2440,817,-502
403,16,418,83,2440,817,-503
404,16,421,83,2440,818,-503
405,16,424,83,2440,818,-504
406,17,427,83,2440,819,-504
407,17,430,83,2440,820,-505
408,17,433,83,2440,820,-505
409,17,436,83,2440,821,-506
410,17,438,83,2440,821,-506
411,17,441,83,2440,822,-507
412,17,444,83,2440,822,-507
413,17,447,83,2440,823,-508
414,18,450,83,2440,824,-508
415,18,453,83,2440,824,-509
416,18,456,83,2440,825,-509
417,18,459,83,2440,825,-510
418,18,462,83,2440,826,-510
419,18,465,83,2440,827,-511
420,18,468,83,2440,827,-511
421,18,471,83,2440,828,-512
422,19,474,83,2440,828,-512
423,19,477,83,2440,829,-513
424,19,480,83,2440,829,-513
425,19,483,83,2440,830,-514
426,19,486,83,2440,831,-514
427,19,489,83,2440,831,-515
428,19,492,83,2440,832,-515
429,19,495,83,2440,832,-516
430,20,498,83,2440,833,-516
431,20,501,83,2440,834,-517
432,20,504,83,2440,834,-517
433,20,507,83,2440,835,-518
434,20,510,83,2440,835,-518
435,20,514,83,2440,836,-519
436,20,517,83,2440,836,-519
437,21,520,83,2440,837,-520
438,21,523,83,2440,838,-520
439,21,526,83,2440,838,-521
440,21,529,83,2440,839,-521
441,21,532,83,2440,839,-522
442,21,536,83,2440,840,-522
443,21,539,83,2440,841,-523
444,21,542,83,2440,841,-523
445,22,545,83,2440,842,-524
446,22,549,83,2440,842,-524
447,22,552,83,2440,843,-525
448,22,555,83,2440,843,-525
449,22,558,83,2440,844,-526
450,22,562,83,2440,845,-526
451,22,565,83,2440,845,-527
452,23,568,83,2440,846,-527
453,23,571,83,2440,846,-528
454,23,575,83,2440,847,-528
455,23,578,83,2440,848,-529
456,23,581,83,2440,848,-529
457,23,585,83,2440,849,-530
458,23,588,83,2440,849,-530
459,24,591,83,2440,850,-531
460,24,595,83,2440,851,-531
461,24,598,83,2440,851,-532
462,24,601,83,2440,852,-532
463,24,605,83,2440,852,-533
464,24,608,83,2440,853,-533
465,24,612,83,2440,854,-534
466,25,615,83,2440,854,-534
467,25,618,83,2440,855,-535
468,25,622,83,2440,855,-535
469,25,625,83,2440,856,-536
470,25,629,83,2440,857,-536
471,25,632,83,2440,857,-537
472,26,636,83,2440,858,-537
473,26,639,83,2440,858,-538
474,26,643,83,2440,859,-538
475,26,646,83,2440,860,-539
476,26,650,83,2440,860,-539
477,26,653,83,2440,861,-540
478,26,657,83,2440,861,-540
479,27,660,83,2440,862,-541
480,27,664,83,2440,863,-541
481,27,667,83,2440,863,-542
482,27,671,83,2440,864,-542
483,27,675,83,2440,864,-543
484,27,678,83,2440,865,-543
485,28,682,83,2440,866,-544
486,28,685,83,2440,866,-544
487,28,689,83,2440,867,-545
488,28,693,83,2440,867,-545
489,28,696,83,2440,868,-546
490,28,700,83,2440,869,-546
491,28,704,83,2440,869,-547
492,29,707,83,2440,870,-547
493,29,711,83,2440,870,-548
494,29,715,83,2440,871,-548
495,29,718,83,2440,872,-549
496,29,722,83,2440,872,-549
497,29,726,83,2440,873,-550
498,30,729,83,2440,874,-550
499,30,733,83,2440,874,-551
500,30,737,83,2440,875,-551
501,30,741,83,2440,875,-552
502,30,744,83,2440,876,-552
503,30,748,83,2440,877,-553
504,31,752,83,2440,877,-553
505,31,756,83,2440,878,-554
506,31,760,83,2440,878,-554
507,31,763,83,2440,879,-555
508,31,767,83,2440,880,-555
509,31,771,83,2440,880,-556
510,32,775,83,2440,881,-556
511,32,779,83,2440,881,-557
512,32,783,83,2440,882,-557
513,32,786,83,2440,883,-558
514,32,790,83,2440,883,-558
515,32,794,83,2440,884,-559
516,33,798,83,2440,885,-559
517,33,802,83,2440,885,-560
518,33,806,83,2440,886,-560
519,33,810,83,2440,886,-561
520,33,814,83,2440,887,-561
521,33,818,83,2440,888,-562
522,34,822,83,2440,888,-562
523,34,826,83,2440,889,-563
524,34,830,83,2440,890,-563
525,34,834,83,2440,890,-564
526,34,838,83,2440,891,-564
527,34,842,83,2440,891,-565
528,35,846,83,2440,892,-565
529,35,850,83,2440,893,-566
530,35,854,83,2440,893,-566
531,35,858,83,2440,894,-567
532,35,862,83,2440,895,-567
533,36,866,83,2440,895,-568
534,36,870,83,2440,896,-568
535,36,874,83,2440,896,-569
536,36,878,83,2440,897,-569
537,36,882,83,2440,898,-570
538,36,886,83,2440,898,-570
539,37,890,83,2440,899,-571
540,37,895,83,2440,900,-571
541,37,899,83,2440,900,-572
542,37,903,83,2440,901,-572
543,37,907,83,2440,901,-573
544,38,911,83,2440,902,-573
545,38,915,83,2440,903,-574
546,38,920,83,2440,903,-574
547,38,924,83,2440,904,-575
548,38,928,83,2440,905,-575
549,38,932,83,2440,905,-576
550,39,936,83,2440,906,-576
551,39,941,83,2440,907,-577
552,39,945,83,2440,907,-577
553,39,949,83,2440,908,-578
554,39,953,83,2440,908,-578
555,40,958,83,2440,909,-579
556,40,962,83,2440,910,-579
557,40,966,83,2440,910,-580
558,40,971,83,2440,911,-580
559,40,975,83,2440,912,-581
560,41,979,83,2440,912,-581
561,41,983,83,2440,913,-582
562,41,988,83,2440,914,-582
563,41,992,83,2440,914,-583
564,41,997,83,2440,915,-583
565,41,1001,83,2440,915,-584
566,42,1005,83,2440,916,-584
567,42,1010,83,2440,917,-585
568,42,1014,83,2440,917,-585
569,42,1018,83,2440,918,-586
570,42,1023,83,2440,919,-586
571,43,1027,83,2440,919,-587
572,43,1032,83,2440,920,-587
573,43,1036,83,2440,921,-588
574,43,1041,83,2440,921,-588
575,43,1045,83,2440,922,-589
576,44,1050,83,2440,923,-589
577,44,1054,83,2440,923,-590
578,44,1059,83,2440,924,-590
579,44,1063,83,2440,924,-591
580,44,1068,83,2440,925,-591
581,45,1072,83,2440,926,-592
582,45,1077,83,2440,926,-592
583,45,1081,83,2440,927,-593
584,45,1086,83,2440,928,-593
585,45,1090,83,2440,928,-594
586,46,1095,83,2440,929,-594
587,46,1099,83,2440,930,-595
588,46,1104,83,2440,930,-595
589,46,1109,83,2440,931,-596
590,46,1113,83,2440,932,-596
591,47,1118,83,2440,932,-597
592,47,1122,83,2440,933,-597
593,47,1127,83,2440,934,-598
594,47,1132,83,2440,934,-598
595,47,1136,83,2440,935,-599
596,48,1141,83,2440,936,-599
597,48,1146,83,2440,936,-600
598,48,1150,83,2440,937,-600
599,48,1155,83,2440,937,-601
600,49,1160,83,2440,938,-601
601,49,1165,83,2440,939,-602
602,49,1169,83,2440,939,-602
603,49,1174,83,2440,940,-603
604,49,1179,83,2440,941,-603
605,50,1183,83,2440,941,-604
606,50,1188,83,2440,942,-604
607,50,1193,83,2440,943,-605
608,50,1198,83,2440,943,-605
609,50,1203,83,2440,944,-606
610,51,1207,83,2440,945,-606
611,51,1212,83,2440,945,-607
612,51,1217,83,2440,946,-607
613,51,1222,83,2440,947,-608
614,51,1227,83,2440,947,-608
615,52,1232,83,2440,948,-609
616,52,1236,83,2440,949,-609
617,52,1241,83,2440,949,-610
618,52,1246,83,2440,950,-610
619,53,1251,83,2440,951,-611
620,53,1256,83,2440,951,-611
621,53,1261,83,2440,952,-612
622,53,1266,83,2440,953,-612
623,53,1271,83,2440,953,-613
624,54,1276,83,2440,954,-613
625,54,1281,83,2440,955,-614
626,54,1286,83,2440,955,-614
627,54,1290,83,2440,956,-615
628,55,1295,83,2440,957,-615
629,55,1300,83,2440,957,-616
630,55,1305,83,2440,958,-616
631,55,1310,83,2440,959,-617
632,55,1315,83,2440,959,-617
633,56,1320,83,2440,960,-618
634,56,1325,83,2440,961,-618
635,56,1331,83,2440,961,-619
636,56,1336,83,2440,962,-619
637,57,1341,83,2440,963,-620
638,57,1346,83,2440,963,-620
639,57,1351,83,2440,964,-621
640,57,1356,83,2440,965,-621
641,57,1361,83,2440,965,-622
642,58,1366,83,2440,966,-622
643,58,1371,83,2440,967,-623
644,58,1376,83,2440,967,-623
645,58,1381,83,2440,968,-624
646,59,1387,83,2440,969,-624
647,59,1392,83,2440,970,-625
648,59,1397,83,2440,970,-625
649,59,1402,83,2440,971,-626
650,60,1407,83,2440,972,-626
651,60,1412,83,2440,972,-627
652,60,1418,83,2440,973,-627
653,60,1423,83,2440,974,-628
654,60,1428,83,2440,974,-628
655,61,1433,83,2440,975,-629
656,61,1439,83,2440,976,-629
657,61,1444,83,2440,976,-630
658,61,1449,83,2440,977,-630
659,62,1454,83,2440,978,-631
660,62,1460,83,2440,978,-631
661,62,1465,83,2440,979,-632
662,62,1470,83,2440,980,-632
663,63,1476,83,2440,980,-633
664,63,1481,83,2440,981,-633
665,63,1486,83,2440,982,-634
666,63,1492,83,2440,982,-634
667,64,1497,83,2440,983,-635
668,64,1502,83,2440,984,-635
669,64,1508,83,2440,985,-636
670,64,1513,83,2440,985,-636
671,65,1518,83,2440,986,-637
672,65,1524,83,2440,987,-637
673,65,1529,83,2440,987,-638
674,65,1535,83,2440,988,-638
675,65,1540,83,2440,989,-639
676,66,1545,83,2440,989,-639
677,66,1551,83,2440,990,-640
678,66,1556,83,2440,991,-640
679,66,1562,83,2440,991,-641
680,67,1567,83,2440,992,-641
681,67,1573,83,2440,993,-642
682,67,1578,83,2440,994,-642
683,67,1584,83,2440,994,-643
684,68,1589,83,2440,995,-643
685,68,1595,83,2440,996,-644
686,68,1600,83,2440,996,-644
687,68,1606,83,2440,997,-645
688,69,1611,83,2440,998,-645
689,69,1617,83,2440,998,-646
690,69,1623,83,2440,999,-646
691,69,1628,83,2440,1000,-647
692,70,1634,83,2440,1001,-647
693,70,1639,83,2440,1001,-648
694,70,1645,83,2440,1002,-648
695,70,1650,83,2440,1003,-649
696,71,1656,83,2440,1003,-649
697,71,1662,83,2440,1004,-650
698,71,1667,83,2440,1005,-650
699,71,1673,83,2440,1005,-651
700,72,1679,83,2440,1006,-651
701,72,1684,83,2440,1007,-652
702,72,1690,83,2440,1008,-652
703,72,1696,83,2440,1008,-653
704,73,1701,83,2440,1009,-653
705,73,1707,83,2440,1010,-654
706,73,1713,83,2440,1010,-654
707,74,1719,83,2440,1011,-655
708,74,1724,83,2440,1012,-655
709,74,1730,83,2440,1012,-656
710,74,1736,83,2440,1013,-656
711,75,1742,83,2440,1014,-657
712,75,1747,83,2440,1015,-657
713,75,1753,83,2440,1015,-658
714,75,1759,83,2440,1016,-658
715,76,1765,83,2440,1017,-659
716,76,1771,83,2440,1017,-659
717,76,1776,83,2440,1018,-660
718,76,1782,83,2440,1019,-660
719,77,1788,83,2440,1020,-661
720,77,1794,83,2440,1020,-661
721,77,1800,83,2440,1021,-662
722,77,1806,83,2440,1022,-662
723,78,1812,83,2440,1022,-663
724,78,1818,83,2440,1023,-663
725,78,1823,83,2440,1024,-664
726,79,1829,83,2440,1025,-664
727,79,1835,83,2440,1025,-665
728,79,1841,83,2440,1026,-665
729,79,1847,83,2440,1027,-666
730,80,1853,83,2440,1027,-666
731,80,1859,83,2440,1028,-667
732,80,1865,83,2440,1029,-667
733,80,1871,83,2440,1030,-668
734,81,1877,83,2440,1030,-668
735,81,1883,83,2440,1031,-669
736,81,1889,83,2440,1032,-669
737,81,1895,83,2440,1033,-670
738,82,1901,83,2440,1033,-670
739,82,1907,83,2440,1034,-671
740,82,1913,83,2440,1035,-671
741,83,1919,83,2440,1035,-672
742,83,1925,83,2440,1036,-672
743,83,1931,83,2440,1037,-673
744,83,1937,83,2440,1038,-673
745,84,1944,83,2440,1038,-674
746,84,1950,83,2440,1039,-674
747,84,1956,83,2440,1040,-675
748,84,1962,83,2440,1041,-675
749,85,1968,83,2440,1041,-676
750,85,1974,83,2440,1042,-676
751,85,1980,83,2440,1043,-677
752,86,1986,83,2440,1043,-677
753,86,1993,83,2440,1044,-678
754,86,1999,83,2440,1045,-678
755,86,2005,83,2440,1046,-679
756,87,2011,83,2440,1046,-679
757,87,2017,83,2440,1047,-680
758,87,2024,83,2440,1048,-680
759,88,2030,83,2440,1049,-681
760,88,2036,83,2440,1049,-681
761,88,2042,83,2440,1050,-682
762,88,2049,83,2440,1051,-682
763,89,2055,83,2440,1051,-683
764,89,2061,83,2440,1052,-683
765,89,2067,83,2440,1053,-684
766,90,2074,83,2440,1054,-684
767,90,2080,83,2440,1054,-685
768,90,2086,83,2440,1055,-685
769,90,2093,83,2440,1056,-686
770,91,2099,83,2440,1057,-686
771,91,2105,83,2440,1057,-687
772,91,2112,83,2440,1058,-687
773,92,2118,83,2440,1059,-688
774,92,2124,83,2440,1060,-688
775,92,2131,83,2440,1060,-689
776,92,2137,83,2440,1061,-689
777,93,2144,83,2440,1062,-690
778,93,2150,83,2440,1063,-690
779,93,2157,83,2440,1063,-691
780,94,2163,83,2440,1064,-691
781,94,2169,83,2440,1065,-692
782,94,2176,83,2440,1066,-692
783,94,2182,83,2440,1066,-693
784,95,2189,83,2440,1067,-693
785,95,2195,83,2440,1068,-694
786,95,2202,83,2440,1069,-694
787,96,2208,83,2440,1069,-695
788,96,2215,83,2440,1070,-695
789,96,2221,83,2440,1071,-696
790,97,2228,83,2440,1072,-696
791,97,2234,83,2440,1072,-697
792,97,2241,83,2440,1073,-697
793,97,2247,83,2440,1074,-698
794,98,2254,83,2440,1075,-698
795,98,2261,83,2440,1075,-699
796,98,2267,83,2440,1076,-699
797,99,2274,83,2440,1077,-700
798,99,2280,83,2440,1078,-700
799,99,2287,83,2440,1078,-701
800,100,2294,83,2440,1079,-701
801,100,2300,83,2440,1080,-702
802,100,2307,83,2440,1081,-702
803,100,2314,83,2440,1081,-703
804,101,2320,83,2440,1082,-703
805,101,2327,83,2440,1083,-704
806,101,2334,83,2440,1084,-704
807,102,2340,83,2440,1084,-705
808,102,2347,83,2440,1085,-705
809,102,2354,83,2440,1086,-706
810,103,2360,83,2440,1087,-706
811,103,2367,83,2440,1087,-707
812,103,2374,83,2440,1088,-707
813,103,2381,83,2440,1089,-708
814,104,2387,83,2440,1090,-708
815,104,2394,83,2440,1090,-709
816,104,2401,83,2440,1091,-709
817,105,2408,83,2440,1092,-710
818,105,2414,83,2440,1093,-710
819,105,2421,83,2440,1094,-711
820,106,2428,83,2440,1094,-711
821,106,2435,83,2440,1095,-712
822,106,2442,83,2440,1096,-712
823,107,2449,83,2440,1097,-713
824,107,2455,83,2440,1097,-713
825,107,2462,83,2440,1098,-714
826,108,2469,83,2440,1099,-714
827,108,2476,83,2440,1100,-715
828,108,2483,83,2440,1100,-715
829,108,2490,83,2440,1100,-716
830,109,2497,83,2440,1100,-716
831,109,2504,83,2440,1100,-717
832,109,2511,83,2440,1100,-717
833,110,2518,83,2440,1100,-718
834,110,2525,83,2440,1100,-718
835,110,2531,83,2440,1100,-719
836,111,2538,83,2440,1100,-719
837,111,2545,83,2440,1100,-720
838,111,2552,83,2440,1100,-720
839,112,2559,83,2440,1100,-721
840,112,2566,83,2440,1100,-721
841,112,2573,83,2440,1100,-722
842,113,2580,83,2440,1100,-722
843,113,2588,83,2440,1100,-723
844,113,2595,83,2440,1100,-723
845,114,2602,83,2440,1100,-724
846,114,2609,83,2440,1100,-724
